Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type,Abstract,RIS URL,Abstract Fetch Status,HTTP Status
FATS: A Prompt Injection Attack Utilizing Feign Security Agents with&#xa0;Deceptive Few-Shots Learning,PRICAI 2025: Trends in Artificial Intelligence,,,,10.1007/978-981-95-7078-2_47,Yupeng RenJiangtao ChenRui Zhang,2026,https://link.springer.com/chapter/10.1007/978-981-95-7078-2_47,Conference paper,"Large Language Models (LLMs) face significant security risks despite their advanced capabilities. While techniques like Reinforcement Learning with Human Feedback (RLHF) improve ethical alignment, excessive exposure to security-related training data may cause LLMs to overtrust such information, creating new vulnerabilities. Investigating this issue, we propose a novel attack method termed FATS (Feign Agent Attack with Toxic-shots). By obfuscating preference extraction, compromising toxicity samples, and inducing malicious behavior, we can effectively mislead LLMs into generating harmful outputs. To evaluate FATS effectiveness, we introduce the FAQuery dataset and conduct experiments on various LLMs. Well-known benchmarks like Advbench were selected to assess the approach. Results demonstrate that mainstream models, including GPT-4.1 (61.6%) and Deepseek-R1 (99.3%) are highly susceptible. It underscored the need to rigorously analyze security-related data sources during model training, developing more secure and reliable LLMs.",https://citation-needed.springer.com/v2/references/10.1007/978-981-95-7078-2_47?format=refman&flavour=citation,downloaded_abstract_ok,200
RPDP-Guard: Defending Large Language Models Against Jailbreaking Attacks Through Risk Perception and&#xa0;Dynamic Prompting,"Collaborative Computing: Networking, Applications and Worksharing",,,,10.1007/978-3-032-21168-2_4,Beilei ZhangHao WangTao HuRongkui ZhouMing TanWeitao HanHailong Ma,2026,https://link.springer.com/chapter/10.1007/978-3-032-21168-2_4,Conference paper,"Large Language Models (LLMs) have been widely adopted across diverse domains due to their exceptional natural language processing capabilities. However, they remain vulnerable to jailbreak attacks, adversarial strategies that bypass safety guardrails to induce harmful outputs. To address these gaps, we propose RPDP-Guard, a defense mechanism that integrates real-time risk perception and dynamic prompting to mitigate both single-turn and multi-turn jailbreaks. Its core design includes two synergistic layers. A risk perception layer, powered by a fine-tuned Qwen3-32B model, detects features and quantifies risks through weighted feature aggregation. A dynamic protection layer tailors system prompts and sampling hyperparameters to risk severity, ensuring proportional defense without sacrificing utility. We perform extensive experiments on four LLMs using five defense methods on nine jailbreak benchmarks. Results show it significantly outperforms five baselines: single-turn attack success rates (ASR) are reduced to as low as 0% on specific models, and multi-turn ASR drops to as low as 0.3% on certain models. Critically, RPDP-Guard maintains utility on benign queries and requires no model modifications, making it readily deployable in API-based environments. This work demonstrates that RPDP-Guard enables a fully automated sense-decision-response loop for jailbreak defense, providing a deployable, lightweight, and effective solution for LLM security. Our code is available at https://github.com/fienxs/RPDP-Guard.",https://citation-needed.springer.com/v2/references/10.1007/978-3-032-21168-2_4?format=refman&flavour=citation,downloaded_abstract_ok,200
StreamGuard: A Streaming-Based Defense Against Jailbreaking Attacks in&#xa0;Large Language Models,Neural Information Processing,,,,10.1007/978-981-95-4109-6_21,Laizhen LiXitong GaoXuan WangJuanjuan ZhaoKejiang Ye,2026,https://link.springer.com/chapter/10.1007/978-981-95-4109-6_21,Conference paper,"Large Language Models (LLMs) have achieved remarkable success in natural language processing but remain vulnerable to jailbreak attacks that bypass built-in safety mechanisms and induce the generation of harmful content. Existing defense methods often rely on static prompt modifications or post-generation filtering, neglecting the dynamic nature of the decoding process. In this paper, we propose StreamGuard, a lightweight and plug-and-play defense framework that enhances LLM safety by intervening during the decoding stage. StreamGuard integrates a self-review mechanism to assess the safety of intermediate outputs and conditionally performs prompt insertion to steer generation back to safe trajectories. Extensive experiments on two open-source instruction-tuned models (LLaMA3.1-8B-Instruct and Qwen2.5-7B-Instruct) against three representative jailbreak attacks (AutoDAN, GCG, DeepInception) demonstrate that StreamGuard significantly reduces attack success rates—dropping from 66% to 6% on AutoDAN—while preserving model utility. Our method requires no model fine-tuning, exhibits strong generalizability, and complements existing static defenses. We release our code and evaluation benchmarks to facilitate reproducibility and future research.",https://citation-needed.springer.com/v2/references/10.1007/978-981-95-4109-6_21?format=refman&flavour=citation,downloaded_abstract_ok,200
Defending ChatGPT against jailbreak attack via self-reminders,Nature Machine Intelligence,,,,10.1038/s42256-023-00765-8,Yueqi XieJingwei YiJiawei ShaoJustin CurlLingjuan LyuQifeng ChenXing XieFangzhao Wu,2023,https://link.springer.com/article/10.1038/s42256-023-00765-8,Article,"ChatGPT is a societally impactful artificial intelligence tool with millions of users and integration into products such as Bing. However, the emergence of jailbreak attacks notably threatens its responsible and secure use. Jailbreak attacks use adversarial prompts to bypass ChatGPT’s ethics safeguards and engender harmful responses. This paper investigates the severe yet under-explored problems created by jailbreaks as well as potential defensive techniques. We introduce a jailbreak dataset with various types of jailbreak prompts and malicious instructions. We draw inspiration from the psychological concept of self-reminders and further propose a simple yet effective defence technique called system-mode self-reminder. This technique encapsulates the user’s query in a system prompt that reminds ChatGPT to respond responsibly. Experimental results demonstrate that self-reminders significantly reduce the success rate of jailbreak attacks against ChatGPT from 67.21% to 19.34%. Our work systematically documents the threats posed by jailbreak attacks, introduces and analyses a dataset for evaluating defensive interventions and proposes the psychologically inspired self-reminder technique that can efficiently and effectively mitigate against jailbreaks without further training.",https://citation-needed.springer.com/v2/references/10.1038/s42256-023-00765-8?format=refman&flavour=citation,downloaded_abstract_ok,200
Prompt Injection is All You Need: A Systemic Framework for&#xa0;Evaluating Healthcare Misinformation in&#xa0;LLMs,Artificial Intelligence in Healthcare,,,,10.1007/978-3-032-00652-3_2,Nur Alesha ZahraZad Chin,2026,https://link.springer.com/chapter/10.1007/978-3-032-00652-3_2,Conference paper,"The integration of Large Language Models (LLMs) into healthcare applications has raised critical concerns about their susceptibility to generating harmful medical misinformation, particularly when faced with emotionally manipulated prompt injection attacks. Through systematic evaluation of 112 attack scenarios in eight state-of-the-art LLMs, we reveal that emotional manipulation coupled with prompt injection can increase the generation of dangerous medical misinformation without warning from a baseline of 6.2% to 37.5%. We also found that emotional content not only amplifies attack success rates, but also leads to more severe forms of misinformation. Notably, models vary widely in their susceptibility. While some models like Claude 3.5 Sonnet demonstrate strong resistance across all attack types, others show high vulnerability to emotional manipulation. These findings not only underscore critical vulnerabilities in LLM safety filters, but also emphasize the urgent need for enhanced protection against emotionally manipulated prompt injection attacks. Given that 39% of the US population already believe in alternative cancer treatments, and nearly 1 in 5 adults now use AI chatbots for health-related advice, our research highlights the life-threatening implications of AI-generated health misinformation and provides crucial insights for developing more robust safety mechanisms before deployment in clinical settings.",https://citation-needed.springer.com/v2/references/10.1007/978-3-032-00652-3_2?format=refman&flavour=citation,downloaded_abstract_ok,200
Exploring Prompt Injection: Methodologies and&#xa0;Risks with&#xa0;an&#xa0;Interactive Chatbot Demonstration,Information and Communication Technology,,,,10.1007/978-981-96-4288-5_31,The-Anh HoangXuan-Tung NguyenQuynh-Nhu Pham-VoNhat-Hung Dang-Hoang,2025,https://link.springer.com/chapter/10.1007/978-981-96-4288-5_31,Conference paper,"Large Language Models (LLMs) offer significant advancements in computation and generative capabilities, enabling wide-ranging applications. However, integrating LLMs into services introduces risks, particularly through prompt injection attacks, where user inputs can manipulate model behavior. This paper explores common strategies for prompt injection and highlights the associated risks in LLM-integrated applications. To demonstrate this vulnerability, we present Injextion, a chatbot where users attempt to exploit the Llama 3 model to obtain a hidden key. Additionally, we implement a minimal TLS handshake with a digital signature to securely transfer chat messages.",https://citation-needed.springer.com/v2/references/10.1007/978-981-96-4288-5_31?format=refman&flavour=citation,downloaded_abstract_ok,200
Prompt Injection Attacks in&#xa0;Defended Systems,Distributed Computer and Communication Networks,,,,10.1007/978-3-031-80853-1_30,Daniil KhomskyNarek MaloyanBulat Nutfullin,2025,https://link.springer.com/chapter/10.1007/978-3-031-80853-1_30,Conference paper,"Large language models play a crucial role in modern natural language processing technologies. However, their extensive use also introduces potential security risks, such as the possibility of black-box attacks. These attacks can embed hidden malicious features into the model, leading to adverse consequences during its deployment.",https://citation-needed.springer.com/v2/references/10.1007/978-3-031-80853-1_30?format=refman&flavour=citation,downloaded_abstract_ok,200
Round Trip Translation Defence Against Large Language Model Jailbreaking Attacks,Trends and Applications in Knowledge Discovery and Data Mining,,,,10.1007/978-981-96-8197-6_21,Canaan YungHadi Mohaghegh DolatabadiSarah ErfaniChristopher Leckie,2025,https://link.springer.com/chapter/10.1007/978-981-96-8197-6_21,Conference paper,"Large language models (LLMs) are susceptible to social-engineered attacks that are human-interpretable but require a high level of comprehension for LLMs to counteract. Existing defenses mitigate less than half of these attacks. To address this, we propose the Round Trip Translation (RTT) method, a pre-processing algorithm designed to defend against social-engineered attacks on LLMs. RTT translates adversarial prompts into several non-Indo-European languages and back to English, rephrasing and broadening them to provide LLMs with more information. Despite the simplicity of this method, it directly impacts the prompt embeddings and increases their global intrinsic dimensionality (GID), hence enabling the detection of subtle adversarial intent and revealing harmful patterns while preserving semantic integrity. We demonstrate that RTT provides more information to LLMs by investigating the GID, which quantifies the diversity and amount of information in the prompt, with experiments showing that adversarial prompts’ GID increases by around 10% after RTT. Additionally, RTT is computationally efficient compared to existing methods, making it a scalable, lightweight, and transferable solution for real-world applications across different LLMs. Our defense mitigated social-engineered attacks, such as Prompt Automatic Iterative Refinement (PAIR), halving the attack success rate compared to state-of-the-art defenses. Our code is publicly available at https://github.com/Cancanxxx/Round_Trip_Translation_Defence.",https://citation-needed.springer.com/v2/references/10.1007/978-981-96-8197-6_21?format=refman&flavour=citation,downloaded_abstract_ok,200
Retrieval Poisoning Attacks Based on&#xa0;Prompt Injections into Retrieval-Augmented Generation Systems that&#xa0;Store Generated Responses,Distributed Computer and Communication Networks,,,,10.1007/978-3-031-80853-1_31,Yegor AnichkovVictor PopovSergey Bolovtsov,2025,https://link.springer.com/chapter/10.1007/978-3-031-80853-1_31,Conference paper,"Retrieval-Augmented Generation (RAG) is a technique that enables to mitigate the limitations of large language model (LLM)-based intelligent systems, such as knowledge obsolescence, hallucinations and the lack of domain-specific expertise during text generation. However, the use of RAG also poses new privacy issues, including data poisoning (retrieval, knowledge or corpus poisoning) attacks, prompt injections and knowledge (personally identifiable information) extraction. For instance, by introducing a small number of poisoned documents into the retrieval database, attackers can manipulate the LLM’s responses to include specific information they desire. In particular, previous studies have not sufficiently addressed the security of RAG systems that store generated responses in the retrieval database (also known as RAG with an active database). In this paper, we propose a novel approach to attacking RAG with an active database based on retrieval poisoning and prompt injections for misinformation tasks. The proposed method addresses the issue of delivering poisoned documents to the retrieval database by exploiting a vulnerability in the accumulation of responses. Experiments on multiple datasets and LLMs demonstrate that the success rate of adding poisoned documents to the retrieval database using the proposed method can reach 96% ASR. By adding just one poisoned document to the retrieval database using the proposed method, it is possible to achieve approximately 80% ASR in generating responses with target answers for users. Results confirm the vulnerability of these distributed systems and highlight the need for improved defense mechanisms.",https://citation-needed.springer.com/v2/references/10.1007/978-3-031-80853-1_31?format=refman&flavour=citation,downloaded_abstract_ok,200
An Integrated Framework for&#xa0;Jailbreak Prevention Using Knowledge Graphs and&#xa0;Large Language Models,Sustainable Computing and Intelligent Systems,,,,10.1007/978-3-032-22917-5_2,Vikrant RameshJ. VishwannthR. AishwaryaAruna GaldysV. Vetriselvi,2026,https://link.springer.com/chapter/10.1007/978-3-032-22917-5_2,Conference paper,"LLMs (Large Language Models) have the capability for both natural language understanding and Text generation. The open ended responses by LLMs pose a significant security risk to users of LLMs especially when they try to use malicious prompts. Routine deployment in many security demanding domains makes defenses against adversarial jailbreak attacks which aim to bypass ethical guards, absolutely essential. We have developed an multilayer defense framework that introduces a prompt analysis LLM. This component was finetuned on an augmented jailbreak dataset and obtains contextual information from a knowledge graph constructed based on official guidelines. A lightweight multilayer perceptron model is used along with a pretrained language model (PLM) to classify the risk potential of a threat. Using the final generated response, a feedback loop will reinforce the constructed knowledge graph through the detection of adversarial output provided by the LLM. This improves the interpretability of the model without loss in model accuracy compared to typical adversarial classification methods used in other researches.",https://citation-needed.springer.com/v2/references/10.1007/978-3-032-22917-5_2?format=refman&flavour=citation,downloaded_abstract_ok,200
Jatmo: Prompt Injection Defense by&#xa0;Task-Specific Finetuning,Computer Security – ESORICS 2024,,,,10.1007/978-3-031-70879-4_6,Julien PietMaha AlrashedChawin SitawarinSizhe ChenZeming WeiElizabeth SunBasel AlomairDavid Wagner,2024,https://link.springer.com/chapter/10.1007/978-3-031-70879-4_6,Conference paper,"Large Language Models (LLMs) are attracting significant research attention due to their instruction-following abilities, allowing users and developers to leverage LLMs for a variety of tasks. However, LLMs are vulnerable to prompt-injection attacks: a class of attacks that hijack the model’s instruction-following abilities, changing responses to prompts to undesired, possibly malicious ones. In this work, we introduce Jatmo , a method for generating task-specific models resilient to prompt-injection attacks. Jatmo leverages the fact that LLMs can only follow instructions once they have undergone instruction tuning. It harnesses a teacher instruction-tuned model to generate a task-specific dataset, which is then used to fine-tune a base model (i.e., a non-instruction-tuned model). Jatmo only needs a task prompt and a dataset of inputs for the task: it uses the teacher model to generate outputs. For situations with no pre-existing datasets, Jatmo can use a single example, or in some cases none at all, to produce a fully synthetic dataset. Our experiments on seven tasks show that Jatmo models provide similar quality of outputs on their specific task as standard LLMs, while being resilient to prompt injections. The best attacks succeeded in less than 0.5% of cases against our models, versus 87% success rate against GPT-3.5-Turbo. We release Jatmo at https://github.com/wagner-group/prompt-injection-defense.",https://citation-needed.springer.com/v2/references/10.1007/978-3-031-70879-4_6?format=refman&flavour=citation,downloaded_abstract_ok,200
Automatic Security Testing of&#xa0;System Prompts Against Prompt Injection Attacks,Research Challenges in Information Science,,,,10.1007/978-3-032-26836-5_12,Anargyros KiourkosJavier Luis Cánovas IzquierdoRobert Clarisó,2026,https://link.springer.com/chapter/10.1007/978-3-032-26836-5_12,Conference paper,"Prompt injection attacks pose a major security risk to Large Language Model (LLM)–integrated applications. Existing evaluations are ad hoc and lack standardized testing. To address this gap, this paper introduces an approach for automated security testing of system prompts in LLM-based systems against prompt injection attacks. Our methodology formalizes a taxonomy of prompt injection attacks, extending prior work with a new category (Encoded Strings) that captures encoded malicious payloads. Using curated datasets, we systematically evaluate model robustness through multi-level defenses and six attack categories. An LLM-based oracle scores responses, generating a quantitative System Prompt Robustness Score. Experiments on 20 system prompts across four LLMs demonstrate that automated testing of system prompt defenses is feasible, reproducible, and discriminative across architectures. Results show that layered defense strategies increase robustness and that proprietary, closed-weight models outperform open-weight counterparts. We implement our methodology in a command line tool suitable for use in CI/CD pipelines and make our code and data available in a GitHub repository.",https://citation-needed.springer.com/v2/references/10.1007/978-3-032-26836-5_12?format=refman&flavour=citation,downloaded_abstract_ok,200
Prompt Infection: LLM-to-LLM Prompt Injection within Multi-agent Systems,Computer Security. ESORICS 2025 International Workshops,,,,10.1007/978-3-032-16092-8_28,Donghyun LeeMo TiwariBrando Miranda,2026,https://link.springer.com/chapter/10.1007/978-3-032-16092-8_28,Conference paper,"As Large Language Models (LLMs) become increasingly powerful, multi-agent systems (MAS) are widely used in modern AI applications. However, these systems pose unique security risks. In this paper, we expose an even more severe attack vector: LLM-to-LLM prompt injection, which completely overrides the system and grants an attacker full control. We introduce prompt infection, a novel attack in which malicious prompts self-replicate across interconnected agents, behaving much like a computer virus. This attack extends traditional prompt injection by introducing data propagation and self-replication, enabling controlled infection and communication between agents. Prompt Infection poses severe threats, including data theft, scams, misinformation, and system-wide disruption, all while propagating autonomously. We show that repurposing existing prompt injection defenses can help mitigate infection spread and reduce system vulnerability to prompt infection. This work underscores the urgent need to address prompt injection vulnerabilities in MAS as their adoption accelerates.",https://citation-needed.springer.com/v2/references/10.1007/978-3-032-16092-8_28?format=refman&flavour=citation,downloaded_abstract_ok,200
Detection Method for&#xa0;Prompt Injection by&#xa0;Integrating Pre-trained Model and&#xa0;Heuristic Feature Engineering,"Knowledge Science, Engineering and Management",,,,10.1007/978-981-95-3072-4_6,Yi JiRunzhi LiBaolei Mao,2026,https://link.springer.com/chapter/10.1007/978-981-95-3072-4_6,Conference paper,"To address prompt injection threats in LLMs, we propose DMPI-PMHFE, a dual-channel feature fusion framework that integrates DeBERTa with heuristic feature engineering. The framework transforms input text into semantic vectors while extracting explicit structural features through attack-pattern-based heuristic rules. Features from both channels are fused via fully connected networks for final classification. This approach mitigates limitations of single-channel feature extraction. Experimental results demonstrate that DMPI-PMHFE outperforms existing methods in accuracy, recall, and F1-score across diverse benchmark datasets. When deployed on mainstream LLMs (GLM-4, LLaMA 3, Qwen 2.5, and GPT-4o), it significantly reduces attack success rates.",https://citation-needed.springer.com/v2/references/10.1007/978-981-95-3072-4_6?format=refman&flavour=citation,downloaded_abstract_ok,200
Prompt injection in manuscripts: exploiting loopholes or crossing ethical lines?,Research Integrity and Peer Review,,,,10.1186/s41073-025-00187-7,Tang ShuchenZilong Li,2026,https://link.springer.com/article/10.1186/s41073-025-00187-7,Article,"The integration of AI in academic publishing has raised significant ethical concerns, particularly regarding the practice of prompt injection, where hidden instructions are embedded in manuscripts to manipulate AI responses in the peer review process.",https://citation-needed.springer.com/v2/references/10.1186/s41073-025-00187-7?format=refman&flavour=citation,downloaded_abstract_ok,200
Prompt injection attacks on vision-language models for surgical decision support,npj Digital Surgery,,,,10.1038/s44484-026-00014-6,Zheyuan ZhangMuhammad Ibtsaam QadirMatthias CarstensEvan Hongyang ZhangMadison Sarah LoiselleFarren Marc MartinusMaksymilian Ksawier MroczkowskiJan ClusmannJakob Nikolas KatherFiona R. Kolbinger,2026,https://www.nature.com/articles/s44484-026-00014-6,Article,"Vision-language models (VLMs) hold promise for video-based surgical decision support tasks due to their capabilities to understand complex temporospatial (video) data. However, the same multimodal interfaces that enable such capabilities also introduce new vulnerabilities to manipulations through embedded deceptive text or images (prompt injection attacks). We systematically evaluated four state-of-the-art VLMs using textual and temporally-varying visual prompt injection attacks across 100 curated surgical video clips spanning 8 clinically relevant surgical decision support tasks. While Gemini 2.5 Pro achieved the highest baseline accuracy (mean ± SD: 0.80 ± 0.01), all models suffered significant performance declines under attacks. GPT-o4-mini-high was most vulnerable (baseline accuracy: 0.65 ± 0.05; under prolonged visual attack: 0.24 ± 0.03, P < 0.001). Prolonged visual injections were more disruptive than single-frame attacks. A focused case study on bleeding detection further demonstrated that bidirectional and covert prompt injection attacks effectively misled all models. Chain-of-thought reasoning analysis revealed that injections corrupt intermediate perceptual processing rather than overriding the final decision. These findings indicate the critical need for robust reasoning capabilities and specialized guardrails before vision-language models can be safely deployed for real-time surgical decision support.",https://citation-needed.springer.com/v2/references/10.1038/s44484-026-00014-6?format=refman&flavour=citation,downloaded_abstract_ok,200
Comparative Analysis of&#xa0;Jailbreaking Techniques for&#xa0;Large Language Models: A Systematic Evaluation Framework,Computational Intelligence in Security for Information Systems,,,,10.1007/978-3-032-19770-2_11,Pablo VellosilloAna Garcia-FornesJose SuchElena del Val,2026,https://link.springer.com/chapter/10.1007/978-3-032-19770-2_11,Conference paper,"Large Language Models (LLMs) exhibit varying degrees of vulnerability to adversarial attacks that bypass their safety mechanisms. This paper presents a systematic evaluation framework for analyzing different jailbreaking methodologies across multiple model architectures. We introduce a comprehensive framework for quantifying the effectiveness of the jailbreaking technique in 13 distinct categories of harmful content. Our framework enables reproducible comparisons between different attack vectors and provides insight into scale-dependent vulnerability patterns. The evaluations performed on the framework shows how model architecture and parameter count influence resistance to different attack types, revealing important relationships between model capabilities and security vulnerabilities.",https://citation-needed.springer.com/v2/references/10.1007/978-3-032-19770-2_11?format=refman&flavour=citation,downloaded_abstract_ok,200
When Vision Becomes a&#xa0;Threat: Adversarial Prompt Injection via&#xa0;Visual Embedding Manipulation,PRICAI 2025: Trends in Artificial Intelligence,,,,10.1007/978-981-95-7081-2_10,Yajing MaJunfeng HaoHaizhou Wang,2026,https://link.springer.com/chapter/10.1007/978-981-95-7081-2_10,Conference paper,"Recently, Multimodal Large Language Models (MLLMs) have demonstrated impressive capabilities but also introduced critical safety vulnerabilities due to their susceptibility to adversarial manipulation. Unlike textual inputs that undergo symbolic-level filtering, visual inputs are mapped into continuous embeddings by frozen vision encoders and injected directly into the language model without explicit safety checks. This unveils an overlooked security risk. We propose the first stealthy embedding-level jailbreak attack that directly perturbs visual token embeddings to inject harmful semantics, thereby bypassing alignment filters and reliably triggering unsafe behavior in MLLMs. Our method constructs a latent semantic embedding matrix from a curated, model-assisted harmful text set and blends it into selected visual token embeddings. To validate the effectiveness of our injection approach, we systematically evaluate multiple spatial attack strategies guided by segment-wise sensitivity analysis. Experiments on three representative MLLMs (LLaVA-1.5, LLaVA-1.6, and mPLUG-Owl2) demonstrate that our method achieves significantly higher Attack Success Rate (ASR), outperforming the strongest baselines by up to +4.5% in absolute ASR. Our results demonstrate that embedding-level injection presents a potent and stealthy jailbreak vector, outperforming prior methods and revealing an overlooked threat surface in MLLMs.",https://citation-needed.springer.com/v2/references/10.1007/978-981-95-7081-2_10?format=refman&flavour=citation,downloaded_abstract_ok,200
Secure Guard: A Semantic-Based Jailbreak Prompt Detection Framework for&#xa0;Protecting Large Language Models,Information and Communications Security,,,,10.1007/978-981-95-3537-8_22,Sixin FangKe ChengJixin ZhangZheng QinMingwu Zhang,2026,https://link.springer.com/chapter/10.1007/978-981-95-3537-8_22,Conference paper,"Large language models (LLMs) have made significant progress in the field of natural language processing. Through training, they can understand natural language texts and demonstrate impressive abilities in language processing and generation. However, due to the presence of “competing objectives” and “mismatched generalization” in LLMs, they are susceptible to jailbreak attacks. This type of attack can bypass the safety alignment mechanism of the model, causing LLMs to generate inappropriate or harmful content. To address this issue, this paper proposes a semantic-based jailbreak attack detection method. We have designed a hybrid neural network architecture called Secure Guard to improve the detection effectiveness and accuracy of jailbreak attacks. Compared with existing defense methods, this model identifies harmful content by analyzing input semantic information, solving the low coverage and false alarm problems associated with jailbreak attacks. Experimental results have shown that Secure Guard achieves state-of-the-art performance on multiple test sets.",https://citation-needed.springer.com/v2/references/10.1007/978-981-95-3537-8_22?format=refman&flavour=citation,downloaded_abstract_ok,200
Prompt injection attacks on vision language models in oncology,Nature Communications,,,,10.1038/s41467-024-55631-x,Jan ClusmannDyke FerberIsabella C. WiestCarolin V. SchneiderTitus J. BrinkerSebastian FoerschDaniel TruhnJakob Nikolas Kather,2025,https://link.springer.com/article/10.1038/s41467-024-55631-x,Article,"Vision-language artificial intelligence models (VLMs) possess medical knowledge and can be employed in healthcare in numerous ways, including as image interpreters, virtual scribes, and general decision support systems. However, here, we demonstrate that current VLMs applied to medical tasks exhibit a fundamental security flaw: they can be compromised by prompt injection attacks. These can be used to output harmful information just by interacting with the VLM, without any access to its parameters. We perform a quantitative study to evaluate the vulnerabilities to these attacks in four state of the art VLMs: Claude-3 Opus, Claude-3.5 Sonnet, Reka Core, and GPT-4o. Using a set of N = 594 attacks, we show that all of these models are susceptible. Specifically, we show that embedding sub-visual prompts in manifold medical imaging data can cause the model to provide harmful output, and that these prompts are non-obvious to human observers. Thus, our study demonstrates a key vulnerability in medical VLMs which should be mitigated before widespread clinical adoption.",https://citation-needed.springer.com/v2/references/10.1038/s41467-024-55631-x?format=refman&flavour=citation,downloaded_abstract_ok,200
Images are Achilles’ Heel of&#xa0;Alignment: Exploiting Visual Vulnerabilities for&#xa0;Jailbreaking Multimodal Large Language Models,Computer Vision – ECCV 2024,,,,10.1007/978-3-031-73464-9_11,Yifan LiHangyu GuoKun ZhouWayne Xin ZhaoJi-Rong Wen,2025,https://link.springer.com/chapter/10.1007/978-3-031-73464-9_11,Conference paper,"In this paper, we study the harmlessness alignment problem of multimodal large language models (MLLMs). We conduct a systematic empirical analysis of the harmlessness performance of representative MLLMs and reveal that the image input poses the alignment vulnerability of MLLMs. Inspired by this, we propose a novel jailbreak method named HADES, which hides and amplifies the harmfulness of the malicious intent within the text input, using meticulously crafted images. Experimental results show that HADES can effectively jailbreak existing MLLMs, which achieves an average Attack Success Rate (ASR) of 90.26% for LLaVA-1.5 and 71.60% for Gemini Pro Vision. Our code and data are available at https://github.com/RUCAIBox/HADES.",https://citation-needed.springer.com/v2/references/10.1007/978-3-031-73464-9_11?format=refman&flavour=citation,downloaded_abstract_ok,200
CCJA: Context-Coherent Jailbreak Attack for Aligned Large Language Models,Machine Learning,,,,10.1007/s10994-026-07069-z,Guanghao ZhouCen ChenPanjia QiuMingyuan FanMingyuan ChuXin ZhangJun Zhou,2026,https://link.springer.com/article/10.1007/s10994-026-07069-z,Article,"Purpose: The accessibility of open-source large language models (LLMs) exacerbates the risk of malicious exploitation via white-box attacks. Current jailbreak attacks often struggle to balance high attack success rates with semantic readability, leading to an incomplete assessment of model robustness. This study aims to evaluate the safety lower bound of open-source models by developing an efficient and interpretable attack method that minimizes manual intervention. Methods: We propose CCJA, a jailbreak attack that optimizes prompts in the continuous embedding space rather than over discrete tokens. By decoding perturbed representations using a Masked Language Model head and jointly minimizing jailbreak and reconstruction losses, CCJA can automatically generate fluent and semantically consistent jailbreak prefixes. Results: Extensive evaluations across multiple LLM families demonstrate that CCJA consistently achieves higher success rates and lower perplexity than state-of-the-art baselines. The generated prompts exhibit strong cross-model transferability to advanced commercial LLMs and maintain high resilience against defense mechanisms such as SmoothLLM and perplexity filtering. Furthermore, the method scales effectively to multi-query and multi-model scenarios. Conclusion: Our results expose substantial safety vulnerabilities in open-source LLMs and demonstrate their potential to compromise closed-source systems via transfer attacks. This work highlights the urgency of stronger safety alignment and provides a practical framework for worst-case robustness evaluation.",https://citation-needed.springer.com/v2/references/10.1007/s10994-026-07069-z?format=refman&flavour=citation,downloaded_abstract_ok,200
Defender: The Possibility of Repairing Jailbreak Defects,"Proceedings of the 3rd International Conference on Machine Learning, Cloud Computing and Intelligent Mining (MLCCIM2024)",,,,10.1007/978-981-96-1694-7_17,Xueting WangYanjie Wei,2025,https://link.springer.com/chapter/10.1007/978-981-96-1694-7_17,Conference paper,"Large Language Models (LLMs) are currently very popular and have been widely used. However, despite the success, LLMs are not entirely safe. This has been confirmed by jailbreak attacks. The main difficulty of fixing the leak is that the training datasets for LLMs are huge and not entirely harmless. There is a risk of generating harmful content based on user prompts when generating outputs, although various developers of large models have made restrictions.",https://citation-needed.springer.com/v2/references/10.1007/978-981-96-1694-7_17?format=refman&flavour=citation,downloaded_abstract_ok,200
A novel data-level prompt injection attack against graph prompt learning,Cybersecurity,,,,10.1186/s42400-026-00650-y,Mengying YuanZhiyong ZhangGaoyuan QuanJunyan PanYu Fu,2026,https://link.springer.com/article/10.1186/s42400-026-00650-y,Article,"Graph Neural Networks (GNNs) are increasingly deployed in security-critical applications, including fraud detection, recommendation integrity analysis, and scientific knowledge mining. Recently, Graph Prompt Learning (GPL) has emerged as a parameter-efficient paradigm for adapting pretrained GNNs to downstream tasks. By optimizing only a small set of prompt parameters while keeping the pretrained encoder frozen, GPL enables efficient task adaptation under limited supervision. Despite its empirical success, the security implications of this paradigm remain largely unexplored. In this work, we investigate the vulnerability of GPL to data-level manipulations and introduce a novel threat, termed the data-level prompt injection attack. Unlike conventional attacks that rely on poisoning pretraining data or modifying model parameters, the proposed attack operates entirely at the downstream prompt learning stage. Specifically, an attacker injects a small number of carefully crafted malicious samples into the training dataset, without altering the pretrained encoder or the prompt learning algorithm. To realize this threat, we propose Graph Prompt Injection Attack (GPIA), which embeds carefully designed subgraph into training graphs to influence prompt optimization. Extensive experiments on multiple benchmarks show that GPIA achieves high attack success rates under low injection ratios while maintaining clean accuracy.",https://citation-needed.springer.com/v2/references/10.1186/s42400-026-00650-y?format=refman&flavour=citation,downloaded_abstract_ok,200
